"","Type","Complexity","i_star_knowledge","Tsec","Question","Ex","Score"
"313","i_star","EASY","Begginer",430,"Q3","E1","0"
"314","radar_chart","COMPLEX","Begginer",100,"Q1","E2","1"
"315","radar_chart","EASY","Begginer",85,"Q1","E1","2"
"316","pareto_table","EASY","Begginer",57,"Q3","E2","1"
"317","radar_chart","COMPLEX","Begginer",155,"Q2","E2","1"
"318","pareto_table","EASY","Begginer",105,"Q1","E2","2"
"319","i_star","EASY","Begginer",33,"Q1","E1","2"
"320","pareto_table","COMPLEX","Begginer",138,"Q2","E4","2"
"321","pareto_table","COMPLEX","Begginer",135,"Q3","E4","2"
"322","i_star","COMPLEX","Begginer",40,"Q1","E3","2"
"323","i_star","COMPLEX","Begginer",223,"Q3","E3","2"
"324","i_star","EASY","Begginer",74,"Q2","E1","2"
"325","pareto_table","COMPLEX","Begginer",39,"Q3","E4","1"
"326","radar_chart","EASY","Begginer",30,"Q3","E5","2"
"327","pareto_table","EASY","Begginer",67,"Q1","E2","0"
"328","i_star","EASY","Begginer",17,"Q3","E1","1"
"329","radar_chart","COMPLEX","Begginer",118,"Q2","E6","2"
"330","i_star","COMPLEX","Begginer",8,"Q2","E3","1"
"331","i_star","COMPLEX","Begginer",182,"Q3","E3","2"
"332","pareto_table","COMPLEX","Begginer",75,"Q1","E4","0"
"333","pareto_table","COMPLEX","Begginer",111,"Q2","E4","1"
"334","i_star","EASY","Begginer",179,"Q2","E1","1"
"335","pareto_table","EASY","Begginer",23,"Q2","E2","0"
"336","radar_chart","COMPLEX","Begginer",82,"Q3","E6","2"
"337","radar_chart","COMPLEX","Begginer",69,"Q1","E6","2"
"338","i_star","EASY","Begginer",450,"Q1","E1","1"
"339","pareto_table","EASY","Begginer",10,"Q3","E2","0"
"340","radar_chart","EASY","Begginer",173,"Q1","E5","2"
"341","i_star","COMPLEX","Begginer",214,"Q1","E3","1"
"342","radar_chart","EASY","Begginer",75,"Q2","E5","2"
"343","i_star","COMPLEX","Expert",190,"Q3","E3","1"
"344","pareto_table","EASY","Expert",50,"Q2","E2","0"
"345","pareto_table","EASY","Expert",40,"Q3","E2","0"
"346","radar_chart","COMPLEX","Expert",60,"Q2","E6","2"
"347","i_star","EASY","Expert",70,"Q2","E1","2"
"348","pareto_table","COMPLEX","Expert",150,"Q2","E4","0"
"349","i_star","EASY","Expert",35,"Q1","E1","2"
"350","radar_chart","EASY","Expert",45,"Q3","E5","1"
"351","i_star","COMPLEX","Expert",35,"Q1","E3","1"
"352","pareto_table","COMPLEX","Expert",100,"Q3","E4","1"
"353","radar_chart","EASY","Expert",10,"Q1","E5","1"
"354","pareto_table","EASY","Expert",110,"Q1","E2","0"
"355","radar_chart","EASY","Expert",35,"Q2","E5","1"
"356","i_star","EASY","Expert",15,"Q3","E1","1"
"357","pareto_table","COMPLEX","Expert",105,"Q1","E4","0"
"358","i_star","COMPLEX","Expert",45,"Q2","E3","2"
"359","radar_chart","COMPLEX","Expert",40,"Q1","E6","2"
"360","radar_chart","COMPLEX","Expert",130,"Q3","E6","0"
"361","pareto_table","COMPLEX","Begginer",82,"Q1","E4","2"
"362","radar_chart","COMPLEX","Begginer",62,"Q1","E2","0"
"363","radar_chart","EASY","Begginer",133,"Q3","E1","0"
"364","pareto_table","EASY","Begginer",69,"Q2","E2","1"
"365","i_star","EASY","Begginer",218,"Q2","E1","2"
"366","pareto_table","EASY","Begginer",110,"Q3","E2","1"
"367","i_star","COMPLEX","Begginer",112,"Q2","E3","0"
"368","i_star","EASY","Begginer",51,"Q1","E1","2"
"369","radar_chart","COMPLEX","Begginer",156,"Q2","E2","0"
"370","radar_chart","EASY","Begginer",112,"Q1","E1","0"
"371","i_star","EASY","Begginer",298,"Q3","E1","0"
"372","pareto_table","COMPLEX","Begginer",169,"Q3","E4","1"
"373","pareto_table","EASY","Begginer",69,"Q1","E2","2"
"374","radar_chart","COMPLEX","Begginer",47,"Q3","E2","0"
"375","i_star","COMPLEX","Begginer",50,"Q1","E3","2"
"376","i_star","COMPLEX","Begginer",306,"Q3","E3","0"
"377","pareto_table","COMPLEX","Begginer",122,"Q2","E4","2"
"378","radar_chart","COMPLEX","Begginer",60,"Q2","E2","0"
"379","i_star","EASY","Begginer",103,"Q1","E1","2"
"380","pareto_table","COMPLEX","Begginer",52,"Q1","E4","2"
"381","i_star","COMPLEX","Begginer",13,"Q1","E3","0"
"382","i_star","EASY","Begginer",95,"Q3","E1","0"
"383","radar_chart","COMPLEX","Begginer",60,"Q3","E2","1"
"384","radar_chart","EASY","Begginer",120,"Q3","E1","1"
"385","i_star","EASY","Begginer",135,"Q2","E1","2"
"386","radar_chart","COMPLEX","Begginer",60,"Q1","E2","1"
"387","radar_chart","EASY","Begginer",60,"Q2","E1","1"
"388","i_star","COMPLEX","Begginer",55,"Q2","E3","0"
"389","radar_chart","EASY","Begginer",60,"Q1","E1","0"
"390","i_star","COMPLEX","Begginer",175,"Q3","E3","0"
"391","pareto_table","EASY","Begginer",237,"Q1","E2","2"
"392","pareto_table","EASY","Begginer",25,"Q3","E2","1"
"393","pareto_table","COMPLEX","Begginer",105,"Q3","E4","2"
"394","pareto_table","EASY","Begginer",23,"Q2","E2","2"
"395","pareto_table","COMPLEX","Begginer",70,"Q2","E4","2"
